digit order on the chain's rows: 45/45 facts
learned proposer loaded from results/proposer/proposer_holdout_sumd.pt (held out: sumd), temperature 1.0
seeded with results/discover_io/seed_double.json: init []  body [COPY 0>1, SET 3<0, CALL add 0,1>2, ANSWER 2]  outro []  stop 1
target sumd: input-output pairs only, seeded, 6 slots, 1446 instructions, callable ['add', 'cmp', 'mul', 'muld', 'sub', 'triple'], any-slot credit True, typed proposals True, learned proposer True, worked-example intermediates True, tier-1 (calls+plumbing only) for 40 generations
  gen 1/120  best 1.452 (exact 0.125)  mean 0.305  candidates 200  elapsed 30s  ETA 3623s  | best so far: init []  body [COPY 0>1, SET 3<0, LOAD 1>0, CALL add 0,1>2, ANSWER 2]  outro []  stop 1
  gen 2/120  best 1.321 (exact 0.250)  mean 0.441  candidates 400  elapsed 68s  ETA 3985s  | best so far: init []  body [COPY 0>1, SET 3<0, LOAD 1>0, CALL add 0,1>2, ANSWER 2]  outro []  stop 1
  gen 3/120  best 1.958 (exact 0.250)  mean 1.105  candidates 600  elapsed 129s  ETA 5044s  | best so far: init []  body [COPY 0>1, SET 3<0, LOAD 1>0, CALL add 0,1>2, ANSWER 2, LOAD 1>2]  outro [COPY 2>5]  stop 1
  gen 4/120  best 1.810 (exact 0.000)  mean 1.023  candidates 800  elapsed 152s  ETA 4421s  | best so far: init []  body [COPY 0>1, SET 3<0, LOAD 1>0, CALL add 0,1>2, ANSWER 2, LOAD 1>2]  outro [COPY 2>5]  stop 1
  gen 5/120  best 2.706 (exact 0.500)  mean 1.251  candidates 1000  elapsed 197s  ETA 4520s  | best so far: init []  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2]  outro []  stop 1
  gen 6/120  best 3.396 (exact 0.875)  mean 1.828  candidates 1200  elapsed 235s  ETA 4468s  | best so far: init []  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2]  outro []  stop 5
  gen 7/120  best 3.308 (exact 0.750)  mean 2.054  candidates 1400  elapsed 276s  ETA 4460s  | best so far: init []  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2]  outro []  stop 5
  gen 8/120  best 2.942 (exact 0.500)  mean 1.997  candidates 1600  elapsed 297s  ETA 4152s  | best so far: init []  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2]  outro []  stop 5
  gen 9/120  best 3.040 (exact 0.625)  mean 1.961  candidates 1800  elapsed 321s  ETA 3955s  | best so far: init []  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2]  outro []  stop 5
  gen 10/120  best 3.156 (exact 0.875)  mean 2.228  candidates 2000  elapsed 348s  ETA 3824s  | best so far: init []  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2]  outro []  stop 5
  gen 11/120  best 2.985 (exact 0.500)  mean 2.118  candidates 2200  elapsed 368s  ETA 3649s  | best so far: init []  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2]  outro []  stop 5
  gen 12/120  best 3.481 (exact 0.875)  mean 2.536  candidates 2400  elapsed 398s  ETA 3583s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 13/120  best 2.869 (exact 0.500)  mean 1.967  candidates 2600  elapsed 432s  ETA 3554s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 14/120  best 2.860 (exact 0.500)  mean 2.277  candidates 2800  elapsed 461s  ETA 3488s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 15/120  best 2.927 (exact 0.625)  mean 2.174  candidates 3000  elapsed 496s  ETA 3473s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 16/120  best 3.133 (exact 0.625)  mean 2.284  candidates 3200  elapsed 559s  ETA 3632s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 17/120  best 3.096 (exact 0.750)  mean 2.266  candidates 3400  elapsed 612s  ETA 3707s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 18/120  best 3.002 (exact 0.625)  mean 2.170  candidates 3600  elapsed 659s  ETA 3733s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 19/120  best 2.783 (exact 0.500)  mean 2.021  candidates 3800  elapsed 731s  ETA 3886s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 20/120  best 2.875 (exact 0.500)  mean 2.199  candidates 4000  elapsed 765s  ETA 3823s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 21/120  best 2.860 (exact 0.500)  mean 2.136  candidates 4200  elapsed 820s  ETA 3866s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 22/120  best 3.329 (exact 0.625)  mean 2.379  candidates 4400  elapsed 860s  ETA 3829s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 23/120  best 2.790 (exact 0.500)  mean 1.951  candidates 4600  elapsed 925s  ETA 3903s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 24/120  best 3.500 (exact 1.000)  mean 2.500  candidates 4800  elapsed 986s  ETA 3943s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 25/120  best 3.292 (exact 0.625)  mean 2.293  candidates 5000  elapsed 1050s  ETA 3991s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 26/120  best 2.800 (exact 0.625)  mean 2.243  candidates 5200  elapsed 1088s  ETA 3933s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 27/120  best 3.427 (exact 0.750)  mean 2.505  candidates 5400  elapsed 1129s  ETA 3890s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 28/120  best 3.308 (exact 0.625)  mean 2.459  candidates 5600  elapsed 1154s  ETA 3792s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 29/120  best 3.040 (exact 0.500)  mean 2.112  candidates 5800  elapsed 1187s  ETA 3725s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 30/120  best 3.188 (exact 0.750)  mean 2.312  candidates 6000  elapsed 1222s  ETA 3665s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 31/120  best 2.571 (exact 0.375)  mean 1.952  candidates 6200  elapsed 1252s  ETA 3595s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 32/120  best 3.033 (exact 0.625)  mean 2.313  candidates 6400  elapsed 1283s  ETA 3529s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 33/120  best 2.948 (exact 0.500)  mean 2.097  candidates 6600  elapsed 1318s  ETA 3474s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
  gen 34/120  best 2.871 (exact 0.500)  mean 2.166  candidates 6800  elapsed 1353s  ETA 3422s  | best so far: init [CALL add 0,1>3]  body [COPY 0>1, LOAD 0>1, LOAD 2>0, CALL add 0,1>2, ANSWER 2, ANSWER 2]  outro []  stop
